kind,name,visibility,created,updated,lang,claim,evidence,status,path,notes
paper,archive/white_paper_physics_steering_20260507/extra_deep_dives/,public_git,2026-05-01,2026-05-01,md,32 deep dives,archive/white_paper_physics_steering_20260507/extra_deep_dives/,archive,archive/white_paper_physics_steering_20260507/extra_deep_dives/,
paper,archive/publish_bundle_20260717/PAPER_DRAFT.md,public_git,2026-07-17,2026-07-17,md,July publish bundle,archive/publish_bundle_20260717/PAPER_DRAFT.md,archive,archive/publish_bundle_20260717/PAPER_DRAFT.md,
paper,Emitted_Control_Tags_Path_B.md,local_excluded,,2026-08-22,md,extra tags from unasked plan criteria,provenance/CONTAMINATION.md; ULTIMA_NIODOO.md §3.3 for real tags,excluded,/home/ruffianl/Documents/Papers/Emitted_Control_Tags_Path_B.md,gitignored on purpose
silo_live,agency-sealed-route,public_git,2026-08-09,2026-08-09,md,"Write rule -> process death -> exact [5,4,3,2,1,5] twice from cold",silos/live/agency-sealed-route.md,live,silos/live/agency-sealed-route.md,
silo_live,parb-25-vs-24,public_git,2026-08-17,2026-08-17,md,"Niodoo 25 vs stock llama.cpp 24, same GGUF seed 42",silos/live/parb-25-vs-24.md,live,silos/live/parb-25-vs-24.md,
silo_live,runtime-moves-the-weights,public_git,2026-08-17,2026-08-17,md,Stock flat 24 x 31; Niodoo 0-25,silos/live/runtime-moves-the-weights.md,live,silos/live/runtime-moves-the-weights.md,
silo_trail,parb-29-9-vs-41-6,public_git,,,md,2025-12-19 multi-seed 29.9% vs 41.6%; different protocol,silos/trail/parb-29-9-vs-41-6.md,trail,silos/trail/parb-29-9-vs-41-6.md,do not subtract from live
silo_trail,control-channel-accuracy,public_git,,,md,Tag emission common; accuracy lift not the object,silos/trail/control-channel-accuracy.md,trail,silos/trail/control-channel-accuracy.md,do not subtract from live
silo_trail,black-hole-repulsion-zero,public_git,,,md,Code runs; force zero on measured runs,silos/trail/black-hole-repulsion-zero.md,trail,silos/trail/black-hole-repulsion-zero.md,do not subtract from live
silo_trail,tcs-unwired,public_git,,,md,TCS on disk; not wired into decode,silos/trail/tcs-unwired.md,trail,silos/trail/tcs-unwired.md,do not subtract from live
silo_trail,retired-scorer-margin,public_git,,,md,25-24 card re-scored 24-24; scorer not physics; retired,silos/trail/retired-scorer-margin.md,trail,silos/trail/retired-scorer-margin.md,do not subtract from live
local_corpus,splatrag-niodoo-telemetry,local,2026-08-15,2026-08-16,jsonl,103G hashed telemetry silo; unique_records 2353986; ingested_ok 6311; walk_done true,STATUS.json 2026-08-16; corpus/machine/niodoo-telemetry.jsonl schema id/content_sha256/source_path/record_kind; first 20 rows hashed file extracts not verdicts,hashed_extract_ingest_incomplete,/home/ruffianl/Hub/Projects/splatrag/memory-niodoo-telemetry,ghost copy 78G /media/ruffianl/ghost_team/01_memory/splatrag-corpus/
lock_pack,LOCK_dual_s42_063106Z,local,2026-08-08,2026-08-08,json,"locked=false exclusive_C=false A=2,2 B=3,3 pass C wrong",/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_20260808T063106Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_20260808T063106Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
lock_pack,LOCK_dual_blend040_063344Z,local,2026-08-08,2026-08-08,json,locked=false C=2x5 fail A=2 B=3,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_blend040_20260808T063344Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_blend040_20260808T063344Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
lock_pack,LOCK_dual_godzone_063557Z,local,2026-08-08,2026-08-08,json,locked=false C/A/B answers None,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_godzone_b040_20260808T063557Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/dual-stream-soul/artifacts/LOCKED_FREE_LAND_strawberry_s42_godzone_b040_20260808T063557Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
lock_pack,LOCK_live_065411Z,local,2026-08-08,2026-08-08,json,locked=false C=2x5 r=0 goal=30,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_lock_20260808T065411Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_lock_20260808T065411Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
lock_pack,LOCK_live_repel_boost_070706Z,local,2026-08-08,2026-08-08,json,exclusive_C_win true C=3x5 A=4 B=4 flag_dropped g=20 r=4.24,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_repel_boost_20260808T070706Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_repel_boost_20260808T070706Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
lock_pack,LOCK_live_multiseed_7_211_072239Z,local,2026-08-08,2026-08-08,json,exclusive_C_win true on seeds 7 and 211 C=3x5 A=2 B=2,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_multiseed_7_211_20260808T072239Z/LOCK.json,opened,/home/ruffianl/Hub/Projects/niodoo/niodoo-live/artifacts/god_zone_freeland_multiseed_7_211_20260808T072239Z/LOCK.json,strawberry letter-count; Dual_Stream paper says that lift is not supported as live seat
local_corpus,december-2025-12-19-controlled-logs,local,2025-12-19,2025-12-19,jsonl,4721 scored rows; 77 question_ids; 5 seeds; verdicts CORRECT 1289 AMBIGUOUS 1258 TRAP 1153 OTHER 1021,"schema run_id,timestamp,question_id,seed,config,verdict,target,response_short,elapsed,physics_metrics; sample PHYS_001 seed 42 AMBIGUOUS",opened_trail_protocol,/home/ruffianl/Hub/Inbox/jasonsfiles/unnested_files/run_id-1-timestamp-2025-12-19t05-31-44.118449-question_id-ph--96f20e.txt,do not mix with live 25 vs 24; this is trail 29.9 vs 41.6 family
local_corpus,wobble_sweep_20251218,local,2025-12-18,2025-12-18,jsonl,"14 wobble_sweep jsonl files staged, not scored this pass",14 files under staging-niodoo-telemetry/niodoo-run/,listed_unscored,/home/ruffianl/Hub/Projects/splatrag/staging-niodoo-telemetry/niodoo-run/,remainder
evidence_pack,adaptive-agency-control,public_and_local,2026-08,2026-08-16,json,"control: original FAIL, short PASS_CONSTRAINED exact [3,2,1,3], letters FAIL, wording FAIL",niodoo-adaptive-agency/evidence/control/*/score.json,hashed_public,/home/ruffianl/Hub/Projects/niodoo/niodoo-adaptive-agency/evidence/control,
evidence_pack,adaptive-agency-durability-20260815,public_and_local,2026-08-15,2026-08-15,csv,"ladder PASS through K=16 byte-identical; K=32 PASS different hash; K>=40 FAIL; shuffle 56 memories 2/6 PASS (seeds 1729, 501013)",evidence/durability/20260815/results.csv + SHA256SUMS,hashed_public,/home/ruffianl/Hub/Projects/niodoo/niodoo-adaptive-agency/evidence/durability/20260815,original personal stores unpublished by design; not a reliability rate
